******************************* K-fold cross-validation ： 1 ******************************* 
C : 1 , PolynomialOrder: 2 , resultLoss: 100 , Support Vectors: 66
C : 1 , PolynomialOrder: 3 , resultLoss: 0.30556 , Support Vectors: 66
C : 1 , PolynomialOrder: 4 , resultLoss: 0.24074 , Support Vectors: 64
C : 2 , PolynomialOrder: 2 , resultLoss: 0.22222 , Support Vectors: 66
C : 2 , PolynomialOrder: 3 , resultLoss: 0.22222 , Support Vectors: 64
C : 2 , PolynomialOrder: 4 , resultLoss: 0.22222 , Support Vectors: 61
C : 3 , PolynomialOrder: 2 , resultLoss: 0.18519 , Support Vectors: 66
C : 3 , PolynomialOrder: 3 , resultLoss: 0.18519 , Support Vectors: 63
C : 3 , PolynomialOrder: 4 , resultLoss: 0.18519 , Support Vectors: 59
C : 4 , PolynomialOrder: 2 , resultLoss: 0.17593 , Support Vectors: 64
C : 4 , PolynomialOrder: 3 , resultLoss: 0.17593 , Support Vectors: 61
C : 4 , PolynomialOrder: 4 , resultLoss: 0.17593 , Support Vectors: 56
C : 5 , PolynomialOrder: 2 , resultLoss: 0.17593 , Support Vectors: 64
C : 5 , PolynomialOrder: 3 , resultLoss: 0.17593 , Support Vectors: 60
C : 5 , PolynomialOrder: 4 , resultLoss: 0.17593 , Support Vectors: 55
C : 6 , PolynomialOrder: 2 , resultLoss: 0.17593 , Support Vectors: 63
C : 6 , PolynomialOrder: 3 , resultLoss: 0.17593 , Support Vectors: 58
C : 6 , PolynomialOrder: 4 , resultLoss: 0.17593 , Support Vectors: 55
C : 7 , PolynomialOrder: 2 , resultLoss: 0.17593 , Support Vectors: 62
C : 7 , PolynomialOrder: 3 , resultLoss: 0.17593 , Support Vectors: 57
C : 7 , PolynomialOrder: 4 , resultLoss: 0.16667 , Support Vectors: 53
C : 8 , PolynomialOrder: 2 , resultLoss: 0.16667 , Support Vectors: 61
C : 8 , PolynomialOrder: 3 , resultLoss: 0.16667 , Support Vectors: 56
C : 8 , PolynomialOrder: 4 , resultLoss: 0.16667 , Support Vectors: 53
C : 9 , PolynomialOrder: 2 , resultLoss: 0.16667 , Support Vectors: 60
C : 9 , PolynomialOrder: 3 , resultLoss: 0.16667 , Support Vectors: 55
C : 9 , PolynomialOrder: 4 , resultLoss: 0.16667 , Support Vectors: 53
C : 10 , PolynomialOrder: 2 , resultLoss: 0.16667 , Support Vectors: 59
