C : 1 , PolynomialOrder: 2 , resultLoss: 100 , Support Vectors: 75
C : 1 , PolynomialOrder: 3 , resultLoss: 0.30833 , Support Vectors: 75
C : 1 , PolynomialOrder: 4 , resultLoss: 0.30833 , Support Vectors: 74
C : 2 , PolynomialOrder: 2 , resultLoss: 0.225 , Support Vectors: 75
C : 2 , PolynomialOrder: 3 , resultLoss: 0.225 , Support Vectors: 75
C : 2 , PolynomialOrder: 4 , resultLoss: 0.225 , Support Vectors: 71
C : 3 , PolynomialOrder: 2 , resultLoss: 0.2 , Support Vectors: 75
C : 3 , PolynomialOrder: 3 , resultLoss: 0.2 , Support Vectors: 73
C : 3 , PolynomialOrder: 4 , resultLoss: 0.2 , Support Vectors: 67
C : 4 , PolynomialOrder: 2 , resultLoss: 0.2 , Support Vectors: 75
C : 4 , PolynomialOrder: 3 , resultLoss: 0.2 , Support Vectors: 70
C : 4 , PolynomialOrder: 4 , resultLoss: 0.2 , Support Vectors: 67
C : 5 , PolynomialOrder: 2 , resultLoss: 0.2 , Support Vectors: 74
C : 5 , PolynomialOrder: 3 , resultLoss: 0.2 , Support Vectors: 69
C : 5 , PolynomialOrder: 4 , resultLoss: 0.2 , Support Vectors: 65
C : 6 , PolynomialOrder: 2 , resultLoss: 0.2 , Support Vectors: 72
C : 6 , PolynomialOrder: 3 , resultLoss: 0.2 , Support Vectors: 67
C : 6 , PolynomialOrder: 4 , resultLoss: 0.2 , Support Vectors: 64
C : 7 , PolynomialOrder: 2 , resultLoss: 0.2 , Support Vectors: 72
C : 7 , PolynomialOrder: 3 , resultLoss: 0.2 , Support Vectors: 66
C : 7 , PolynomialOrder: 4 , resultLoss: 0.2 , Support Vectors: 63
C : 8 , PolynomialOrder: 2 , resultLoss: 0.2 , Support Vectors: 71
C : 8 , PolynomialOrder: 3 , resultLoss: 0.2 , Support Vectors: 65
C : 8 , PolynomialOrder: 4 , resultLoss: 0.2 , Support Vectors: 62
C : 9 , PolynomialOrder: 2 , resultLoss: 0.2 , Support Vectors: 70
C : 9 , PolynomialOrder: 3 , resultLoss: 0.2 , Support Vectors: 64
C : 9 , PolynomialOrder: 4 , resultLoss: 0.2 , Support Vectors: 63
C : 10 , PolynomialOrder: 2 , resultLoss: 0.2 , Support Vectors: 69
C : 10 , PolynomialOrder: 3 , resultLoss: 0.2 , Support Vectors: 64
C : 10 , PolynomialOrder: 4 , resultLoss: 0.2 , Support Vectors: 62
C : 11 , PolynomialOrder: 2 , resultLoss: 0.2 , Support Vectors: 68
C : 11 , PolynomialOrder: 3 , resultLoss: 0.2 , Support Vectors: 63
C : 11 , PolynomialOrder: 4 , resultLoss: 0.2 , Support Vectors: 61
C : 12 , PolynomialOrder: 2 , resultLoss: 0.2 , Support Vectors: 68
C : 12 , PolynomialOrder: 3 , resultLoss: 0.2 , Support Vectors: 63
C : 12 , PolynomialOrder: 4 , resultLoss: 0.2 , Support Vectors: 61
C : 13 , PolynomialOrder: 2 , resultLoss: 0.2 , Support Vectors: 67
C : 13 , PolynomialOrder: 3 , resultLoss: 0.2 , Support Vectors: 63
C : 13 , PolynomialOrder: 4 , resultLoss: 0.2 , Support Vectors: 61
C : 14 , PolynomialOrder: 2 , resultLoss: 0.2 , Support Vectors: 67
C : 14 , PolynomialOrder: 3 , resultLoss: 0.2 , Support Vectors: 63
C : 14 , PolynomialOrder: 4 , resultLoss: 0.2 , Support Vectors: 60
C : 15 , PolynomialOrder: 2 , resultLoss: 0.2 , Support Vectors: 67
C : 15 , PolynomialOrder: 3 , resultLoss: 0.2 , Support Vectors: 62
C : 15 , PolynomialOrder: 4 , resultLoss: 0.2 , Support Vectors: 60
C : 16 , PolynomialOrder: 2 , resultLoss: 0.2 , Support Vectors: 67
C : 16 , PolynomialOrder: 3 , resultLoss: 0.2 , Support Vectors: 62
C : 16 , PolynomialOrder: 4 , resultLoss: 0.2 , Support Vectors: 61
C : 17 , PolynomialOrder: 2 , resultLoss: 0.2 , Support Vectors: 65
C : 17 , PolynomialOrder: 3 , resultLoss: 0.2 , Support Vectors: 61
C : 17 , PolynomialOrder: 4 , resultLoss: 0.2 , Support Vectors: 61
C : 18 , PolynomialOrder: 2 , resultLoss: 0.2 , Support Vectors: 64
C : 18 , PolynomialOrder: 3 , resultLoss: 0.2 , Support Vectors: 61
C : 18 , PolynomialOrder: 4 , resultLoss: 0.2 , Support Vectors: 60
C : 19 , PolynomialOrder: 2 , resultLoss: 0.2 , Support Vectors: 64
C : 19 , PolynomialOrder: 3 , resultLoss: 0.2 , Support Vectors: 61
C : 19 , PolynomialOrder: 4 , resultLoss: 0.2 , Support Vectors: 60
C : 20 , PolynomialOrder: 2 , resultLoss: 0.2 , Support Vectors: 64
C : 20 , PolynomialOrder: 3 , resultLoss: 0.2 , Support Vectors: 61
C : 20 , PolynomialOrder: 4 , resultLoss: 0.2 , Support Vectors: 60
C : 1 , PolynomialOrder: 2 , resultLoss: 100 , Support Vectors: 66
C : 1 , PolynomialOrder: 3 , resultLoss: 0.28333 , Support Vectors: 66
C : 1 , PolynomialOrder: 4 , resultLoss: 0.175 , Support Vectors: 62
C : 2 , PolynomialOrder: 2 , resultLoss: 0.14167 , Support Vectors: 66
C : 2 , PolynomialOrder: 3 , resultLoss: 0.14167 , Support Vectors: 62
C : 2 , PolynomialOrder: 4 , resultLoss: 0.13333 , Support Vectors: 56
C : 3 , PolynomialOrder: 2 , resultLoss: 0.13333 , Support Vectors: 65
C : 3 , PolynomialOrder: 3 , resultLoss: 0.13333 , Support Vectors: 59
C : 3 , PolynomialOrder: 4 , resultLoss: 0.13333 , Support Vectors: 55
C : 4 , PolynomialOrder: 2 , resultLoss: 0.13333 , Support Vectors: 63
C : 4 , PolynomialOrder: 3 , resultLoss: 0.125 , Support Vectors: 56
C : 4 , PolynomialOrder: 4 , resultLoss: 0.125 , Support Vectors: 53
C : 5 , PolynomialOrder: 2 , resultLoss: 0.125 , Support Vectors: 60
C : 5 , PolynomialOrder: 3 , resultLoss: 0.125 , Support Vectors: 55
C : 5 , PolynomialOrder: 4 , resultLoss: 0.125 , Support Vectors: 51
C : 6 , PolynomialOrder: 2 , resultLoss: 0.125 , Support Vectors: 59
C : 6 , PolynomialOrder: 3 , resultLoss: 0.125 , Support Vectors: 54
C : 6 , PolynomialOrder: 4 , resultLoss: 0.125 , Support Vectors: 50
C : 7 , PolynomialOrder: 2 , resultLoss: 0.125 , Support Vectors: 59
C : 7 , PolynomialOrder: 3 , resultLoss: 0.125 , Support Vectors: 52
C : 7 , PolynomialOrder: 4 , resultLoss: 0.125 , Support Vectors: 51
C : 8 , PolynomialOrder: 2 , resultLoss: 0.125 , Support Vectors: 57
C : 8 , PolynomialOrder: 3 , resultLoss: 0.125 , Support Vectors: 52
C : 8 , PolynomialOrder: 4 , resultLoss: 0.125 , Support Vectors: 49
C : 9 , PolynomialOrder: 2 , resultLoss: 0.125 , Support Vectors: 57
C : 9 , PolynomialOrder: 3 , resultLoss: 0.125 , Support Vectors: 51
C : 9 , PolynomialOrder: 4 , resultLoss: 0.125 , Support Vectors: 49
C : 10 , PolynomialOrder: 2 , resultLoss: 0.125 , Support Vectors: 55
C : 10 , PolynomialOrder: 3 , resultLoss: 0.125 , Support Vectors: 51
C : 10 , PolynomialOrder: 4 , resultLoss: 0.125 , Support Vectors: 48
C : 11 , PolynomialOrder: 2 , resultLoss: 0.125 , Support Vectors: 54
C : 11 , PolynomialOrder: 3 , resultLoss: 0.125 , Support Vectors: 50
C : 11 , PolynomialOrder: 4 , resultLoss: 0.125 , Support Vectors: 47
C : 12 , PolynomialOrder: 2 , resultLoss: 0.125 , Support Vectors: 54
C : 12 , PolynomialOrder: 3 , resultLoss: 0.125 , Support Vectors: 50
C : 12 , PolynomialOrder: 4 , resultLoss: 0.125 , Support Vectors: 47
C : 13 , PolynomialOrder: 2 , resultLoss: 0.125 , Support Vectors: 53
C : 13 , PolynomialOrder: 3 , resultLoss: 0.125 , Support Vectors: 49
C : 13 , PolynomialOrder: 4 , resultLoss: 0.125 , Support Vectors: 46
C : 14 , PolynomialOrder: 2 , resultLoss: 0.125 , Support Vectors: 52
C : 14 , PolynomialOrder: 3 , resultLoss: 0.125 , Support Vectors: 49
C : 14 , PolynomialOrder: 4 , resultLoss: 0.125 , Support Vectors: 45
C : 15 , PolynomialOrder: 2 , resultLoss: 0.125 , Support Vectors: 52
C : 15 , PolynomialOrder: 3 , resultLoss: 0.125 , Support Vectors: 48
C : 15 , PolynomialOrder: 4 , resultLoss: 0.125 , Support Vectors: 45
C : 16 , PolynomialOrder: 2 , resultLoss: 0.125 , Support Vectors: 52
C : 16 , PolynomialOrder: 3 , resultLoss: 0.125 , Support Vectors: 48
C : 16 , PolynomialOrder: 4 , resultLoss: 0.125 , Support Vectors: 44
C : 17 , PolynomialOrder: 2 , resultLoss: 0.125 , Support Vectors: 52
C : 17 , PolynomialOrder: 3 , resultLoss: 0.125 , Support Vectors: 48
C : 17 , PolynomialOrder: 4 , resultLoss: 0.125 , Support Vectors: 44
C : 18 , PolynomialOrder: 2 , resultLoss: 0.125 , Support Vectors: 51
C : 18 , PolynomialOrder: 3 , resultLoss: 0.125 , Support Vectors: 48
C : 18 , PolynomialOrder: 4 , resultLoss: 0.125 , Support Vectors: 44
C : 19 , PolynomialOrder: 2 , resultLoss: 0.125 , Support Vectors: 51
C : 19 , PolynomialOrder: 3 , resultLoss: 0.125 , Support Vectors: 47
C : 19 , PolynomialOrder: 4 , resultLoss: 0.125 , Support Vectors: 44
C : 20 , PolynomialOrder: 2 , resultLoss: 0.125 , Support Vectors: 51
C : 20 , PolynomialOrder: 3 , resultLoss: 0.125 , Support Vectors: 47
C : 20 , PolynomialOrder: 4 , resultLoss: 0.125 , Support Vectors: 44
Use Polynomial kernel method, the number of support vecorts is :  71, absolute terms and in terms of a % training data available is: 29.5833% , accuracy: 78.3333
