******************************* K-fold cross-validation ： 1 ******************************* 
C : 1, resultLoss: 100 , Support Vectors: 67
C : 2, resultLoss: 0.30556 , Support Vectors: 67
C : 3, resultLoss: 0.30556 , Support Vectors: 67
C : 4, resultLoss: 0.30556 , Support Vectors: 67
C : 5, resultLoss: 0.30556 , Support Vectors: 67
C : 6, resultLoss: 0.26852 , Support Vectors: 67
C : 7, resultLoss: 0.25 , Support Vectors: 67
C : 8, resultLoss: 0.22222 , Support Vectors: 67
C : 9, resultLoss: 0.22222 , Support Vectors: 66
C : 10, resultLoss: 0.22222 , Support Vectors: 66
C : 11, resultLoss: 0.2037 , Support Vectors: 66
C : 12, resultLoss: 0.2037 , Support Vectors: 64
C : 13, resultLoss: 0.2037 , Support Vectors: 65
C : 14, resultLoss: 0.19444 , Support Vectors: 64
C : 15, resultLoss: 0.19444 , Support Vectors: 64
C : 16, resultLoss: 0.19444 , Support Vectors: 64
C : 17, resultLoss: 0.18519 , Support Vectors: 63
C : 18, resultLoss: 0.18519 , Support Vectors: 63
C : 19, resultLoss: 0.17593 , Support Vectors: 63
C : 20, resultLoss: 0.17593 , Support Vectors: 62
C : 1, resultLoss: 100 , Support Vectors: 62
C : 2, resultLoss: 0.28704 , Support Vectors: 62
C : 3, resultLoss: 0.28704 , Support Vectors: 62
C : 4, resultLoss: 0.28704 , Support Vectors: 62
C : 5, resultLoss: 0.26852 , Support Vectors: 62
C : 6, resultLoss: 0.2037 , Support Vectors: 62
C : 7, resultLoss: 0.14815 , Support Vectors: 62
C : 8, resultLoss: 0.14815 , Support Vectors: 60
C : 9, resultLoss: 0.14815 , Support Vectors: 60
C : 10, resultLoss: 0.13889 , Support Vectors: 59
C : 11, resultLoss: 0.12963 , Support Vectors: 59
C : 12, resultLoss: 0.12963 , Support Vectors: 59
C : 13, resultLoss: 0.12963 , Support Vectors: 57
C : 14, resultLoss: 0.12963 , Support Vectors: 57
C : 15, resultLoss: 0.12963 , Support Vectors: 57
C : 16, resultLoss: 0.12963 , Support Vectors: 56
C : 17, resultLoss: 0.12963 , Support Vectors: 56
C : 18, resultLoss: 0.12963 , Support Vectors: 54
C : 19, resultLoss: 0.12963 , Support Vectors: 54
C : 20, resultLoss: 0.12963 , Support Vectors: 54
******************************* K-fold cross-validation ： 2 ******************************* 
C : 1, resultLoss: 100 , Support Vectors: 62
C : 2, resultLoss: 0.27778 , Support Vectors: 62
C : 3, resultLoss: 0.27778 , Support Vectors: 61
C : 4, resultLoss: 0.27778 , Support Vectors: 61
C : 5, resultLoss: 0.27778 , Support Vectors: 61
C : 6, resultLoss: 0.27778 , Support Vectors: 61
C : 7, resultLoss: 0.27778 , Support Vectors: 61
C : 8, resultLoss: 0.27778 , Support Vectors: 61
C : 9, resultLoss: 0.27778 , Support Vectors: 61
C : 10, resultLoss: 0.27778 , Support Vectors: 61
C : 11, resultLoss: 0.27778 , Support Vectors: 61
C : 12, resultLoss: 0.27778 , Support Vectors: 61
C : 13, resultLoss: 0.27778 , Support Vectors: 61
C : 14, resultLoss: 0.27778 , Support Vectors: 61
C : 15, resultLoss: 0.26852 , Support Vectors: 61
C : 16, resultLoss: 0.25 , Support Vectors: 61
C : 17, resultLoss: 0.25 , Support Vectors: 61
C : 18, resultLoss: 0.23148 , Support Vectors: 61
C : 19, resultLoss: 0.22222 , Support Vectors: 61
C : 20, resultLoss: 0.22222 , Support Vectors: 61
C : 1, resultLoss: 100 , Support Vectors: 62
C : 2, resultLoss: 0.28704 , Support Vectors: 62
C : 3, resultLoss: 0.28704 , Support Vectors: 62
C : 4, resultLoss: 0.28704 , Support Vectors: 62
C : 5, resultLoss: 0.26852 , Support Vectors: 62
C : 6, resultLoss: 0.2037 , Support Vectors: 62
C : 7, resultLoss: 0.14815 , Support Vectors: 62
C : 8, resultLoss: 0.14815 , Support Vectors: 60
C : 9, resultLoss: 0.14815 , Support Vectors: 60
C : 10, resultLoss: 0.13889 , Support Vectors: 59
C : 11, resultLoss: 0.12963 , Support Vectors: 59
C : 12, resultLoss: 0.12963 , Support Vectors: 59
C : 13, resultLoss: 0.12963 , Support Vectors: 57
C : 14, resultLoss: 0.12963 , Support Vectors: 57
C : 15, resultLoss: 0.12963 , Support Vectors: 57
C : 16, resultLoss: 0.12963 , Support Vectors: 56
C : 17, resultLoss: 0.12963 , Support Vectors: 56
C : 18, resultLoss: 0.12963 , Support Vectors: 54
C : 19, resultLoss: 0.12963 , Support Vectors: 54
C : 20, resultLoss: 0.12963 , Support Vectors: 54
******************************* K-fold cross-validation ： 3 ******************************* 
C : 1, resultLoss: 100 , Support Vectors: 64
C : 2, resultLoss: 0.2963 , Support Vectors: 64
C : 3, resultLoss: 0.2963 , Support Vectors: 64
C : 4, resultLoss: 0.2963 , Support Vectors: 64
C : 5, resultLoss: 0.2963 , Support Vectors: 64
C : 6, resultLoss: 0.2963 , Support Vectors: 64
C : 7, resultLoss: 0.2963 , Support Vectors: 64
C : 8, resultLoss: 0.27778 , Support Vectors: 64
C : 9, resultLoss: 0.25 , Support Vectors: 64
C : 10, resultLoss: 0.24074 , Support Vectors: 64
C : 11, resultLoss: 0.2037 , Support Vectors: 64
C : 12, resultLoss: 0.18519 , Support Vectors: 64
C : 13, resultLoss: 0.18519 , Support Vectors: 64
C : 14, resultLoss: 0.18519 , Support Vectors: 64
C : 15, resultLoss: 0.18519 , Support Vectors: 64
C : 16, resultLoss: 0.18519 , Support Vectors: 64
C : 17, resultLoss: 0.18519 , Support Vectors: 63
C : 18, resultLoss: 0.18519 , Support Vectors: 62
C : 19, resultLoss: 0.18519 , Support Vectors: 62
C : 20, resultLoss: 0.18519 , Support Vectors: 62
C : 1, resultLoss: 100 , Support Vectors: 62
C : 2, resultLoss: 0.28704 , Support Vectors: 62
C : 3, resultLoss: 0.28704 , Support Vectors: 62
C : 4, resultLoss: 0.28704 , Support Vectors: 62
C : 5, resultLoss: 0.26852 , Support Vectors: 62
C : 6, resultLoss: 0.2037 , Support Vectors: 62
C : 7, resultLoss: 0.14815 , Support Vectors: 62
C : 8, resultLoss: 0.14815 , Support Vectors: 60
C : 9, resultLoss: 0.14815 , Support Vectors: 60
C : 10, resultLoss: 0.13889 , Support Vectors: 59
C : 11, resultLoss: 0.12963 , Support Vectors: 59
C : 12, resultLoss: 0.12963 , Support Vectors: 59
C : 13, resultLoss: 0.12963 , Support Vectors: 57
C : 14, resultLoss: 0.12963 , Support Vectors: 57
C : 15, resultLoss: 0.12963 , Support Vectors: 57
C : 16, resultLoss: 0.12963 , Support Vectors: 56
C : 17, resultLoss: 0.12963 , Support Vectors: 56
C : 18, resultLoss: 0.12963 , Support Vectors: 54
C : 19, resultLoss: 0.12963 , Support Vectors: 54
C : 20, resultLoss: 0.12963 , Support Vectors: 54
******************************* K-fold cross-validation ： 4 ******************************* 
C : 1, resultLoss: 100 , Support Vectors: 69
C : 2, resultLoss: 0.31481 , Support Vectors: 69
C : 3, resultLoss: 0.31481 , Support Vectors: 69
C : 4, resultLoss: 0.31481 , Support Vectors: 69
C : 5, resultLoss: 0.31481 , Support Vectors: 69
C : 6, resultLoss: 0.31481 , Support Vectors: 69
C : 7, resultLoss: 0.31481 , Support Vectors: 69
C : 8, resultLoss: 0.31481 , Support Vectors: 69
C : 9, resultLoss: 0.31481 , Support Vectors: 69
C : 10, resultLoss: 0.31481 , Support Vectors: 69
C : 11, resultLoss: 0.30556 , Support Vectors: 69
C : 12, resultLoss: 0.28704 , Support Vectors: 69
C : 13, resultLoss: 0.27778 , Support Vectors: 69
C : 14, resultLoss: 0.26852 , Support Vectors: 69
C : 15, resultLoss: 0.25 , Support Vectors: 69
C : 16, resultLoss: 0.24074 , Support Vectors: 69
C : 17, resultLoss: 0.24074 , Support Vectors: 69
C : 18, resultLoss: 0.24074 , Support Vectors: 69
C : 19, resultLoss: 0.24074 , Support Vectors: 69
C : 20, resultLoss: 0.22222 , Support Vectors: 69
C : 1, resultLoss: 100 , Support Vectors: 62
C : 2, resultLoss: 0.28704 , Support Vectors: 62
C : 3, resultLoss: 0.28704 , Support Vectors: 62
C : 4, resultLoss: 0.28704 , Support Vectors: 62
C : 5, resultLoss: 0.26852 , Support Vectors: 62
C : 6, resultLoss: 0.2037 , Support Vectors: 62
C : 7, resultLoss: 0.14815 , Support Vectors: 62
C : 8, resultLoss: 0.14815 , Support Vectors: 60
C : 9, resultLoss: 0.14815 , Support Vectors: 60
