******************************* K-fold cross-validation ： 1 ******************************* 
C :1 , Sigma: 0.1 , resultLoss: 100 , Support Vectors: 64
C :1 , Sigma: 0.2 , resultLoss: 0.18519 , Support Vectors: 61
C :1 , Sigma: 0.3 , resultLoss: 0.18519 , Support Vectors: 61
C :1 , Sigma: 0.4 , resultLoss: 0.18519 , Support Vectors: 64
C :1 , Sigma: 0.5 , resultLoss: 0.18519 , Support Vectors: 67
C :1 , Sigma: 0.6 , resultLoss: 0.18519 , Support Vectors: 66
C :1 , Sigma: 0.7 , resultLoss: 0.18519 , Support Vectors: 66
C :1 , Sigma: 0.8 , resultLoss: 0.18519 , Support Vectors: 66
C :1 , Sigma: 0.9 , resultLoss: 0.18519 , Support Vectors: 66
C :1 , Sigma: 1 , resultLoss: 0.18519 , Support Vectors: 66
C :2 , Sigma: 0.1 , resultLoss: 0.18519 , Support Vectors: 60
C :2 , Sigma: 0.2 , resultLoss: 0.17593 , Support Vectors: 56
C :2 , Sigma: 0.3 , resultLoss: 0.17593 , Support Vectors: 56
C :2 , Sigma: 0.4 , resultLoss: 0.17593 , Support Vectors: 61
C :2 , Sigma: 0.5 , resultLoss: 0.17593 , Support Vectors: 63
C :2 , Sigma: 0.6 , resultLoss: 0.17593 , Support Vectors: 66
C :2 , Sigma: 0.7 , resultLoss: 0.17593 , Support Vectors: 66
C :2 , Sigma: 0.8 , resultLoss: 0.17593 , Support Vectors: 66
C :2 , Sigma: 0.9 , resultLoss: 0.17593 , Support Vectors: 66
C :2 , Sigma: 1 , resultLoss: 0.17593 , Support Vectors: 66
C :3 , Sigma: 0.1 , resultLoss: 0.17593 , Support Vectors: 58
C :3 , Sigma: 0.2 , resultLoss: 0.17593 , Support Vectors: 53
C :3 , Sigma: 0.3 , resultLoss: 0.17593 , Support Vectors: 55
C :3 , Sigma: 0.4 , resultLoss: 0.17593 , Support Vectors: 57
C :3 , Sigma: 0.5 , resultLoss: 0.16667 , Support Vectors: 62
C :3 , Sigma: 0.6 , resultLoss: 0.16667 , Support Vectors: 63
C :3 , Sigma: 0.7 , resultLoss: 0.16667 , Support Vectors: 64
C :3 , Sigma: 0.8 , resultLoss: 0.16667 , Support Vectors: 66
C :3 , Sigma: 0.9 , resultLoss: 0.16667 , Support Vectors: 66
C :3 , Sigma: 1 , resultLoss: 0.16667 , Support Vectors: 66
C :4 , Sigma: 0.1 , resultLoss: 0.16667 , Support Vectors: 56
C :4 , Sigma: 0.2 , resultLoss: 0.16667 , Support Vectors: 52
C :4 , Sigma: 0.3 , resultLoss: 0.16667 , Support Vectors: 53
C :4 , Sigma: 0.4 , resultLoss: 0.16667 , Support Vectors: 56
C :4 , Sigma: 0.5 , resultLoss: 0.16667 , Support Vectors: 59
C :4 , Sigma: 0.6 , resultLoss: 0.16667 , Support Vectors: 61
C :4 , Sigma: 0.7 , resultLoss: 0.16667 , Support Vectors: 64
C :4 , Sigma: 0.8 , resultLoss: 0.16667 , Support Vectors: 64
C :4 , Sigma: 0.9 , resultLoss: 0.16667 , Support Vectors: 66
C :4 , Sigma: 1 , resultLoss: 0.16667 , Support Vectors: 66
C :5 , Sigma: 0.1 , resultLoss: 0.16667 , Support Vectors: 58
C :5 , Sigma: 0.2 , resultLoss: 0.16667 , Support Vectors: 51
C :5 , Sigma: 0.3 , resultLoss: 0.16667 , Support Vectors: 51
C :5 , Sigma: 0.4 , resultLoss: 0.16667 , Support Vectors: 54
C :5 , Sigma: 0.5 , resultLoss: 0.16667 , Support Vectors: 57
C :5 , Sigma: 0.6 , resultLoss: 0.16667 , Support Vectors: 59
C :5 , Sigma: 0.7 , resultLoss: 0.16667 , Support Vectors: 62
C :5 , Sigma: 0.8 , resultLoss: 0.16667 , Support Vectors: 64
