C :1 , Sigma: 0.1 , resultLoss: 100 , Support Vectors: 74
C :1 , Sigma: 0.2 , resultLoss: 0.21667 , Support Vectors: 69
C :1 , Sigma: 0.3 , resultLoss: 0.19167 , Support Vectors: 70
C :1 , Sigma: 0.4 , resultLoss: 0.19167 , Support Vectors: 74
C :1 , Sigma: 0.5 , resultLoss: 0.19167 , Support Vectors: 74
C :1 , Sigma: 0.6 , resultLoss: 0.19167 , Support Vectors: 74
C :1 , Sigma: 0.7 , resultLoss: 0.19167 , Support Vectors: 74
C :1 , Sigma: 0.8 , resultLoss: 0.19167 , Support Vectors: 74
C :1 , Sigma: 0.9 , resultLoss: 0.19167 , Support Vectors: 74
C :1 , Sigma: 1 , resultLoss: 0.19167 , Support Vectors: 74
C :2 , Sigma: 0.1 , resultLoss: 0.19167 , Support Vectors: 71
C :2 , Sigma: 0.2 , resultLoss: 0.19167 , Support Vectors: 64
C :2 , Sigma: 0.3 , resultLoss: 0.175 , Support Vectors: 65
C :2 , Sigma: 0.4 , resultLoss: 0.175 , Support Vectors: 70
C :2 , Sigma: 0.5 , resultLoss: 0.175 , Support Vectors: 74
C :2 , Sigma: 0.6 , resultLoss: 0.175 , Support Vectors: 74
C :2 , Sigma: 0.7 , resultLoss: 0.175 , Support Vectors: 74
C :2 , Sigma: 0.8 , resultLoss: 0.175 , Support Vectors: 74
C :2 , Sigma: 0.9 , resultLoss: 0.175 , Support Vectors: 74
C :2 , Sigma: 1 , resultLoss: 0.175 , Support Vectors: 74
C :3 , Sigma: 0.1 , resultLoss: 0.175 , Support Vectors: 72
C :3 , Sigma: 0.2 , resultLoss: 0.175 , Support Vectors: 63
C :3 , Sigma: 0.3 , resultLoss: 0.175 , Support Vectors: 63
C :3 , Sigma: 0.4 , resultLoss: 0.175 , Support Vectors: 66
C :3 , Sigma: 0.5 , resultLoss: 0.175 , Support Vectors: 70
C :3 , Sigma: 0.6 , resultLoss: 0.175 , Support Vectors: 73
C :3 , Sigma: 0.7 , resultLoss: 0.175 , Support Vectors: 74
C :3 , Sigma: 0.8 , resultLoss: 0.175 , Support Vectors: 74
C :3 , Sigma: 0.9 , resultLoss: 0.175 , Support Vectors: 74
C :3 , Sigma: 1 , resultLoss: 0.175 , Support Vectors: 74
C :4 , Sigma: 0.1 , resultLoss: 0.175 , Support Vectors: 72
C :4 , Sigma: 0.2 , resultLoss: 0.175 , Support Vectors: 62
C :4 , Sigma: 0.3 , resultLoss: 0.175 , Support Vectors: 61
C :4 , Sigma: 0.4 , resultLoss: 0.175 , Support Vectors: 64
C :4 , Sigma: 0.5 , resultLoss: 0.175 , Support Vectors: 67
C :4 , Sigma: 0.6 , resultLoss: 0.175 , Support Vectors: 70
C :4 , Sigma: 0.7 , resultLoss: 0.175 , Support Vectors: 74
C :4 , Sigma: 0.8 , resultLoss: 0.175 , Support Vectors: 74
C :4 , Sigma: 0.9 , resultLoss: 0.175 , Support Vectors: 74
C :4 , Sigma: 1 , resultLoss: 0.175 , Support Vectors: 74
C :5 , Sigma: 0.1 , resultLoss: 0.175 , Support Vectors: 68
C :5 , Sigma: 0.2 , resultLoss: 0.175 , Support Vectors: 61
C :5 , Sigma: 0.3 , resultLoss: 0.175 , Support Vectors: 60
C :5 , Sigma: 0.4 , resultLoss: 0.175 , Support Vectors: 64
C :5 , Sigma: 0.5 , resultLoss: 0.175 , Support Vectors: 66
C :5 , Sigma: 0.6 , resultLoss: 0.175 , Support Vectors: 69
C :5 , Sigma: 0.7 , resultLoss: 0.175 , Support Vectors: 73
C :5 , Sigma: 0.8 , resultLoss: 0.175 , Support Vectors: 74
C :5 , Sigma: 0.9 , resultLoss: 0.175 , Support Vectors: 74
C :5 , Sigma: 1 , resultLoss: 0.175 , Support Vectors: 74
C :6 , Sigma: 0.1 , resultLoss: 0.175 , Support Vectors: 68
C :6 , Sigma: 0.2 , resultLoss: 0.175 , Support Vectors: 62
C :6 , Sigma: 0.3 , resultLoss: 0.175 , Support Vectors: 61
C :6 , Sigma: 0.4 , resultLoss: 0.175 , Support Vectors: 63
C :6 , Sigma: 0.5 , resultLoss: 0.175 , Support Vectors: 65
C :6 , Sigma: 0.6 , resultLoss: 0.175 , Support Vectors: 67
C :6 , Sigma: 0.7 , resultLoss: 0.175 , Support Vectors: 70
C :6 , Sigma: 0.8 , resultLoss: 0.175 , Support Vectors: 73
C :6 , Sigma: 0.9 , resultLoss: 0.175 , Support Vectors: 74
C :6 , Sigma: 1 , resultLoss: 0.175 , Support Vectors: 74
C :7 , Sigma: 0.1 , resultLoss: 0.175 , Support Vectors: 67
C :7 , Sigma: 0.2 , resultLoss: 0.175 , Support Vectors: 63
C :7 , Sigma: 0.3 , resultLoss: 0.175 , Support Vectors: 59
C :7 , Sigma: 0.4 , resultLoss: 0.175 , Support Vectors: 63
